"","observed_month","percent_hens","percent_eggs","source"
"47",2018-10-31,17.4985916872811,16.5289471270068,"computed"
"48",2018-10-31,18.4,NA,"Egg-Markets-Overview-2019-10-19.pdf"
"49",2018-11-30,17.3402828763341,16.3403889776444,"computed"
"50",2018-12-31,17.2532352079981,16.2507654068153,"computed"
"51",2019-01-31,17.1839344824165,16.2187563829457,"computed"
"52",2019-02-28,17.0126661955689,16.1152217122331,"computed"
"53",2019-03-15,18.4,NA,"Egg-Markets-Overview-2019-03-15.pdf"
"54",2019-03-31,18.1474527291664,17.1285176046844,"computed"
"55",2019-04-30,19.5397966365224,18.4183865546219,"computed"
"56",2019-05-03,19.2,NA,"Egg-Markets-Overview-2019-05-03.pdf"
"57",2019-05-31,19.9311862157202,18.6972467868568,"computed"
"58",2019-06-30,20.3560758860193,19.1498058481539,"computed"
"59",2019-07-31,20.4503889390134,19.2757432738473,"computed"
"60",2019-08-01,21.8,NA,"Egg-Markets-Overview-2019-08-09.pdf"
"61",2019-08-31,20.3350377197795,19.1508020624017,"computed"
"62",2019-09-01,23.2,NA,"Egg-Markets-Overview-2019-09-06.pdf"
"63",2019-09-30,20.5936122487025,19.3711362678667,"computed"
"64",2019-10-25,24.1,NA,"Egg-Markets-Overview-2019-10-25.pdf"
"65",2019-10-31,20.9466886302639,19.5496204389932,"computed"
"66",2019-11-25,23.9,NA,"Egg-Markets-Overview-2019-11-29.pdf"
"67",2019-11-30,20.8831308994082,19.4519268440788,"computed"
"68",2019-12-27,23.4,NA,"Egg-Markets-Overview-2019-12-27.pdf"
"69",2019-12-31,20.7580767133888,19.4627975484578,"computed"
"70",2020-01-24,23.3,NA,"Egg-Markets-Overview-2020-01-24.pdf"
"71",2020-01-31,20.5931160556348,19.3268021182974,"computed"
"72",2020-02-28,23.6,NA,"Egg-Markets-Overview-2020-03-06.pdf"
"73",2020-02-29,20.9418138391796,19.6943842541573,"computed"
"74",2020-03-24,26.2,NA,"Egg-Markets-Overview-2020-03-27.pdf"
"75",2020-03-31,23.2601984197779,21.77856986123,"computed"
"76",2020-04-21,26.2,NA,"Egg-Markets-Overview-2020-04-24.pdf"
"77",2020-04-30,23.4112215214628,22.1631708492984,"computed"
"78",2020-05-29,26.6,NA,"Egg-Markets-Overview-2020-05-29.pdf"
"79",2020-05-31,23.8675714489987,23.4685461293242,"computed"
"80",2020-06-26,27.4,NA,"Egg-Markets-Overview-2020-06-26.pdf"
"81",2020-06-30,24.6668197806485,24.3014925373134,"computed"
"82",2020-07-27,27.6,NA,"Egg-Markets-Overview-2020-07-27.pdf"
"83",2020-07-31,25.0411304358873,23.9395094248817,"computed"
"84",2020-08-28,28,NA,"Egg-Markets-Overview-2020-08-28.pdf"
"85",2020-08-31,24.9600316580926,24.5460515426368,"computed"
"86",2020-09-25,28.5,NA,"Egg-Markets-Overview-2020-09-25.pdf"
"87",2020-09-30,25.0251100618599,24.113967473608,"computed"
"88",2020-10-30,28.5,NA,"Egg-Markets-Overview-2020-10-30.pdf"
"89",2020-10-31,24.8035679983145,23.9237390326755,"computed"
"90",2020-11-27,28.3,NA,"Egg-Markets-Overview-2020-11-27.pdf"
"91",2020-11-30,24.6143605164202,23.8269235035309,"computed"
"92",2020-12-23,28.2,NA,"Egg-Markets-Overview-2020-12-25.pdf"
"93",2020-12-31,24.4053937478778,23.8991182122172,"computed"
"94",2021-01-25,28.5,NA,"Egg-Markets-Overview-2021-01-25.pdf"
"95",2021-01-31,25.1531463785925,24.3881973641216,"computed"
"96",2021-02-28,29.2,NA,"Egg-Markets-Overview-2021-03-05.pdf"
